"","link","influence","cumsum","rank","color","run","MG","H","model","simname"
"g1.d21","g1.d2",1.77206333228572,38.37,14,"red","Fall",".C10","5","null","H5.sim.null"
"a1.b22","a1.b2",1.95009750814109,36.6,13,"black","Fall",".C10","5","null","H5.sim.null"
"d1.f32","d1.f3",2.01107695630436,34.65,12,"red","Fall",".C10","5","null","H5.sim.null"
"d1.f22","d1.f2",2.09890753011823,32.64,11,"red","Fall",".C10","5","null","H5.sim.null"
"d1.d12","d1.d1",2.11304294742662,30.54,10,"red","Fall",".C10","5","null","H5.sim.null"
"g1.g12","g1.g1",2.32228186567517,28.43,9,"green","Fall",".C10","5","null","H5.sim.null"
"b1.b12","b1.b1",2.58115306538877,26.11,8,"pink","Fall",".C10","5","null","H5.sim.null"
"f3.g32","f3.g3",2.99500654323614,23.52,7,"green","Fall",".C10","5","null","H5.sim.null"
"a1.d2","a1.d2",3.04916725699094,20.53,6,"black","Fall",".C10","5","null","H5.sim.null"
"a1.b12","a1.b1",3.20156194970583,17.48,5,"black","Fall",".C10","5","null","H5.sim.null"
